ts,direction,algo,msg_index,net_transit_ms,crypto_ms,payload_bytes,overhead_bytes,throughput_mbps,mem_kb,message_text,detailed_metrics
922022.8535,publisher,none,0,,0.0003,129,16,0.0000,0.0,GOOSE_PDU.publisher.../keys.--algo.--csv.--count.127.0.0.1..Publisher completed %d messages.....WSAStartup failed..publisher....[,{"pub_total_crypto_ms":0.0003,"pub_encrypt_ms":0.0003}
922022.8537,publisher,none,1,,0.0001,129,16,0.0000,0.0,GOOSE_PDU.publisher.../keys.--algo.--csv.--count.127.0.0.1..Publisher completed %d messages.....WSAStartup failed..publisher....[,{"pub_total_crypto_ms":0.0001,"pub_encrypt_ms":0.0001}
922022.8586,publisher,none,2,,0.0002,129,16,0.0000,0.0,GOOSE_PDU.publisher.../keys.--algo.--csv.--count.127.0.0.1..Publisher completed %d messages.....WSAStartup failed..publisher....[,{"pub_total_crypto_ms":0.0002,"pub_encrypt_ms":0.0002}
":0.0003,"sub_verify_ms":0.0003}
922022.8608,subscriber,none,1,0.5000,0.0002,129,16,0.0000,0.0,GOOSE_PDU.subscriber....[Subscriber] Detected REPLAY ATTACK (stNum: %u. sqNum: %u)..[Subscriber] Authentication/Decryption Failed,{"sub_total_crypto_ms":0.0002,"sub_verify_ms":0.0002}
922022.8609,subscriber,none,2,0.5000,0.0002,129,16,0.0000,0.0,GOOSE_PDU.subscriber....[Subscriber] Detected REPLAY ATTACK (stNum: %u. sqNum: %u)..[Subscriber] Authentication/Decryption Failed,{"sub_total_crypto_ms":0.0002,"sub_verify_ms":0.0002}
922022.8750,publisher,none,3,,0.0002,129,16,0.0000,0.0,GOOSE_PDU.publisher.../keys.--algo.--csv.--count.127.0.0.1..Publisher completed %d messages.....WSAStartup failed..publisher....[,{"pub_total_crypto_ms":0.0002,"pub_encrypt_ms":0.0002}
922022.8909,subscriber,none,3,0.5000,0.0005,129,16,0.0000,0.0,GOOSE_PDU.subscriber....[Subscriber] Detected REPLAY ATTACK (stNum: %u. sqNum: %u)..[Subscriber] Authentication/Decryption Failed,{"sub_total_crypto_ms":0.0005,"sub_nonce_check_ms":0.0002,"sub_verify_ms":0.0003}
922022.8910,publisher,none,4,,0.0002,129,16,0.0000,0.0,GOOSE_PDU.publisher.../keys.--algo.--csv.--count.127.0.0.1..Publisher completed %d messages.....WSAStartup failed..publisher....[,{"pub_total_crypto_ms":0.0002,"pub_encrypt_ms":0.0002}
922022.8911,subscriber,none,4,0.5000,0.0001,129,16,0.0000,0.0,GOOSE_PDU.subscriber....[Subscriber] Detected REPLAY ATTACK (stNum: %u. sqNum: %u)..[Subscriber] Authentication/Decryption Failed,{"sub_total_crypto_ms":0.0001,"sub_verify_ms":0.0001}
